name,interestType,description
Technology,TECHNOLOGY,Passion for software hardware and digital innovation
Photography,ART,Capturing moments and visual storytelling through a lens
Travel,ADVENTURE,Exploring new cultures places and experiences around the world
Reading,LITERATURE,Diving into books articles and written knowledge
Music,ART,Appreciation and creation of sound melodies and rhythm
Design,ART,Visual thinking creativity and aesthetic problem solving
Gaming,TECHNOLOGY,Playing and exploring interactive digital entertainment
Cooking,HOUSEHOLDER,Creating delicious meals and experimenting with flavors
Fitness,SPORT,Physical training health and an active lifestyle
Cinema,ART,Love for films storytelling and the art of motion pictures
Art,ART,Painting drawing and all forms of visual creative expression
Writing,LITERATURE,Expressing ideas stories and thoughts through written words
Science,SCIENCE,Curiosity about the natural world and how things work
Sports,SPORT,Competing and staying active through physical games
Hiking,ADVENTURE,Exploring nature trails and the great outdoors on foot
Fashion,ART,Style personal expression and the art of clothing
Finance,SCIENCE,Understanding money markets investments and economic systems
Psychology,SCIENCE,Exploring the human mind behavior and mental processes
Languages,LITERATURE,Learning and appreciating different languages and cultures
Yoga,SPORT,Mind body balance through breathing postures and mindfulness
Astronomy,SCIENCE,Gazing at stars planets and the mysteries of the universe
Architecture,ART,The art and science of designing buildings and spaces
Volunteering,CHARITY,Giving time and energy to support communities and causes
Podcasts,LITERATURE,Listening to audio content on topics that inspire and inform